round,task,software_stack,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n
v0.5,AD,OTHER,4,5296.046,175.61190000000002,186.20625,11212.5,12675.0,168.549,13650.0,11026.29375,True
v0.5,IC,OTHER,4,352768.675,1143.748,1252.135,837958.75,1078679.5,1071.49,1239160.0,836706.615,True
v0.5,KWS,OTHER,5,5950.0,404.526,421.47,181917.0,268144.8,393.23,325630.0,181495.53,False
v0.5,VWW,OTHER,4,303440.735,2943.151,3458.9275000000002,664037.0,773658.8,2599.2999999999997,846740.0,660578.0725,True
v0.7,AD,CMSIS,1,5410.0,5410.0,5410.0,5410.0,5410.0,5410.0,5410.0,0.0,True
v0.7,AD,OTHER,11,5900.0,2400.0,4351.57,9109.365,12130.0,2281.0,16800.0,4757.795,False
v0.7,IC,CMSIS,1,239980.0,239980.0,239980.0,239980.0,239980.0,239980.0,239980.0,0.0,True
v0.7,IC,OTHER,10,215245.0,69836.7,164745.25,251131.0,290885.8,65099.99999999999,304690.0,86385.75,False
v0.7,KWS,CMSIS,1,63090.0,63090.0,63090.0,63090.0,63090.0,63090.0,63090.0,0.0,True
v0.7,KWS,OTHER,12,59206.0,5820.000000000002,21592.5,75087.5,81646.85,1800.0,97646.0,53495.0,False
v0.7,VWW,CMSIS,1,186190.0,186190.0,186190.0,186190.0,186190.0,186190.0,186190.0,0.0,True
v0.7,VWW,OTHER,10,210200.0,63873.00000000001,154313.5,242776.75,258820.3,59400.0,296380.0,88463.25,False
v1.0,AD,CMSIS,3,6270.0,5598.0,5850.0,7435.0,8134.0,5430.0,8600.0,1585.0,True
v1.0,AD,OTHER,10,3570.0,168.2,658.25,5425.0,6787.0,98.0,7570.0,4766.75,False
v1.0,AD,TVM,1,11700.0,11700.0,11700.0,11700.0,11700.0,11700.0,11700.0,0.0,True
v1.0,IC,CMSIS,3,316100.0,159964.0,218515.0,352800.0,374820.0,120930.0,389500.0,134285.0,True
v1.0,IC,OTHER,11,64800.0,949.0,10545.0,156450.0,193100.0,616.0,226900.0,145905.0,False
v1.0,IC,TVM,1,389200.0,389200.0,389200.0,389200.0,389200.0,389200.0,389200.0,0.0,True
v1.0,KWS,CMSIS,3,76100.0,44244.0,56190.0,87950.0,95060.0,36280.0,99800.0,31760.0,True
v1.0,KWS,OTHER,11,19100.0,732.0,2925.0,52815.0,71700.0,475.0,75050.0,49890.0,False
v1.0,KWS,TVM,1,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,0.0,True
v1.0,VWW,CMSIS,3,232000.0,135688.0,171805.0,266600.0,287360.0,111610.0,301200.0,94795.0,True
v1.0,VWW,OTHER,11,57000.0,1733.0,8400.0,162955.0,208600.0,1125.0,230480.0,154555.0,False
v1.0,VWW,TVM,1,336500.0,336500.0,336500.0,336500.0,336500.0,336500.0,336500.0,0.0,True
v1.1,AD,OTHER,18,3927.005,1598.7259999999999,1804.5675,5466.1925,8021.795,1347.71,46546.3,3661.625,False
v1.1,AD,TVM,3,8604.960000000001,6751.808000000001,7446.740000000001,10152.48,11080.992,6288.52,11700.0,2705.739999999999,True
v1.1,AD,UNKNOWN,2,7600.0,7600.0,7600.0,7600.0,7600.0,7600.0,7600.0,0.0,True
v1.1,IC,OTHER,23,62877.299999999996,3539.672,48879.350000000006,175228.5,280079.00000000006,147.285,1669450.0,126349.15,False
v1.1,IC,TVM,5,389100.0,346358.4,389100.0,389560.0,389560.0,317864.0,389560.0,460.0,False
v1.1,IC,UNKNOWN,2,224450.0,222490.0,223225.0,225675.0,226410.0,222000.0,226900.0,2450.0,True
v1.1,KWS,OTHER,23,18418.600000000002,2563.0840000000007,14288.550000000001,50921.7,78175.30000000002,323.846,679348.0,36633.149999999994,False
v1.1,KWS,TVM,5,99840.3,85816.78,99810.4,144000.0,144000.0,76487.7,144000.0,44189.600000000006,False
v1.1,KWS,UNKNOWN,2,73700.0,72900.0,73200.0,74200.0,74500.0,72700.0,74700.0,1000.0,True
v1.1,VWW,OTHER,22,58335.95,9810.191,30741.525,113128.75,179874.6,720.308,1869160.0,82387.225,False
v1.1,VWW,TVM,3,300842.0,246822.8,267080.0,319871.0,331288.4,233318.0,338900.0,52791.0,True
v1.1,VWW,UNKNOWN,3,221100.0,44516.0,110735.0,223000.0,224140.0,370.0,224900.0,112265.0,True
v1.2,AD,OTHER,5,1230.0,190.0,370.0,3430.0,4528.0,70.0,5260.0,3060.0,False
v1.2,AD,UNKNOWN,17,4930.0,1248.0,1710.0,5970.0,11176.000000000004,530.0,40890.0,4260.0,False
v1.2,IC,OTHER,8,37105.0,3629.0,13257.5,108767.5,127287.99999999999,150.0,165130.0,95510.0,False
v1.2,IC,UNKNOWN,12,143215.0,47520.0,79020.0,225072.5,455153.0000000001,8480.0,1522070.0,146052.5,False
v1.2,KWS,OTHER,6,7845.0,785.0,2202.5,24625.0,36125.0,90.0,43190.0,22422.5,False
v1.2,KWS,UNKNOWN,8,46365.0,11321.0,17892.5,61032.5,186937.99999999994,3460.0,474610.0,43140.0,False
v1.2,VWW,OTHER,8,18260.0,260.0,3147.5,66692.5,98335.0,190.0,120280.0,63545.0,False
v1.2,VWW,UNKNOWN,9,119830.0,37686.0,57250.0,180510.0,571382.0000000002,13390.0,1414430.0,123260.0,False
v1.3,AD,OTHER,6,1973.288,192.2896,421.43125000000003,4397.625,5101.72,68.3762,5409.76,3976.19375,False
v1.3,IC,OTHER,9,15975.0,800.9640400000001,2282.79,109493.0,169028.0,95.81620000000001,182448.0,107210.21,False
v1.3,KWS,OTHER,9,4367.16,474.1735,1394.1200000000001,28994.800000000003,44394.76,64.9515,48302.2,27600.680000000004,False
v1.3,VWW,OTHER,10,8585.53,206.02370000000002,2662.3925,53744.100000000006,90367.27999999998,114.248,98736.2,51081.707500000004,False
